order_id,order_date,customer_name,phone,county,product,category,quantity,unit_price,payment_method,rating
ORD1171,2025-05-19,Wanjiru  Mwangi,254723303070,Eldoret ,Bedsheet Set,Home,1,KES 2600,mpesa,4
ORD1204,2025-06-12,Lucy  Chebet,+254768222394,Thika,Notebook Set,Stationery,1,380,cash,5
ORD1210,Mar 4 2025,  Victor Wafula ,784498926,NAIROBI,Leather Belt,Clothing,4,750,mpesa,5
ORD1183,2025-03-04,lucy kiprono,773934835,thika,Sports Shoes,clothing,1,4470,card,4
ORD1160,2025-05-02,joyce kamau,254795939172,Eldoret ,Frying Pan,Home,3,1080,mpesa,4
ORD1106,12/04/2025,  Amina Mutua ,+254776618251,Thika ,Bluetooth Speaker,Electronic,3,"2,630",Mpesa,4
ORD1188,28/04/2025,Otieno  Kamau,+254721753540,mombasa,Ballpoint Pens,Stationery ,2,KES 180,Card,4
ORD1021,19/05/2025,nasra kamau,254768044369,thika,Sports Shoes,Clothes,1,KES 4330,Cash,5
ORD1028,2025-06-18,PETER CHEBET,+254753100330,nairobi,Bedsheet Set,Home,2,KES 3050,Cash,4
ORD1196,13/01/2025,nasra chebet,765800439,Kisumu,Notebook Set,Stationery ,3,360,Cash,4
ORD1176,26/06/2025,Amina  Kiprono,758428241,Mombasa,Water Bottle,Home ,3,KES 560,Cash,4
ORD1115,20/06/2025,grace otieno,254770088600,NAIROBI,Wireless Earbuds,Electronics,2,"3,300",cash,4
ORD1013,2025-01-20,john omondi,+254769985435,Mombassa,Sports Shoes,Clothes,4,3880,Cash,4
ORD1135,Mar 28 2025,Nasra  Mutua,+254712604223,Kisumu ,Notebook Set,stationery,5,320,cash,3
ORD1179,21/04/2025,samuel achieng,254766760083,Nairobi,Ballpoint Pens,stationery,2,210,Mpesa,2
ORD1136,2025-06-26,otieno njoroge,0768457759,Nakuru ,Ballpoint Pens,Stationery,2,200,Card,4
ORD1219,24/01/2025,Kevin  Njoroge,769849027,Kisumu,Sports Shoes,clothing,1,"3,850",cash,2
ORD1003,2025-05-21,WANJIRU KAMAU,254783276483,Thika,Denim Jeans,clothing,1,2070,cash,4
ORD1036,2025-05-10,  John Chebet ,731869993,Mombassa,Phone Charger,Electronic,2,KES 810,cash,2
ORD1182,15/04/2025,Amina Kiprono,718472304,Nairobi,Backpack,Stationery ,3,"1,470",mpesa,4
ORD1017,2025-02-22,kevin chebet,+254715869232, Nairobi,Wireless Earbuds,Electronics,4,3360,Cash,5
ORD1165,06/04/2025,  Faith Mutua ,254765270477,nairobi,Leather Belt,Clothing ,2,690,M-Pesa,4
ORD1085,24/06/2025,Wanjiru  Njoroge,786691251,kisumu,Bluetooth Speaker,Electronics ,1,2550,cash,4
ORD1164,01/03/2025,Joyce Achieng,+254714973103,Nakuru ,Wireless Earbuds,Electronics ,2,3420,Card,3
ORD1076,08/03/2025,samuel achieng,710369711,Nakuru ,Notebook Set,Stationery ,2,380,Cash,2
ORD1157,2025-02-06,Nasra Were,+254795590599,Nakuru ,Bedsheet Set,Home,1,KES 3070,card,
ORD1107,08/02/2025,Grace Mwangi,0752431069,Nakuru,Cotton T-Shirt,clothing,3,940,M-Pesa,4
ORD1213,Jun 24 2025,AMINA KAMAU,+254741379772,eldoret,Bluetooth Speaker,electronics,2,"2,500",cash,4
ORD1008,2025-04-04,DANIEL WERE,+254731509839,Nakuru,Sports Shoes,Clothing,2,"4,610",Cash,
ORD1031,25/05/2025,kevin chebet,776945314,Eldoret,Frying Pan,home,2,"1,200",card,5
ORD1079,Mar 10 2025,  Kevin Otieno ,0768740345,mombasa,Wireless Earbuds,Electronics ,1,KES 3350,M-Pesa,5
ORD1011,06/02/2025,Nasra Otieno,777360260,NAIROBI,Backpack,stationery,3,KES 1750,Card,5
ORD1000,May 3 2025,FAITH MWANGI,0760013389,,Power Bank,electronics,3,"1,700",Cash,5
ORD1194,Jun 5 2025,nasra omondi,728851587,Thika ,Power Bank,Electronics ,3,KES 1690,cash,3
ORD1122,10/04/2025,MERCY KAMAU,715437993,Mombasa,Cotton T-Shirt,clothing,1,KES 900,M-Pesa,4
ORD1009,Apr 7 2025,Amina Achieng,0729973763,Mombasa,Wireless Earbuds,Electronic,1,KES 3750,Card,
ORD1077,2025-05-14,victor kiprono,0718518888,eldoret,Frying Pan,home,2,1110,Cash,4
ORD1119,20/05/2025,JOHN ABDI,750477358, Nairobi,Wireless Earbuds,electronics,1,"3,210",card,3
ORD1207,2025-02-18,Joyce  Njoroge,741108099,Kisumu ,Phone Charger,electronics,2,740,card,5
ORD1209,Feb 24 2025,mercy abdi,254775037314,Eldoret,Leather Belt,Clothing,2,650,Mpesa,4
ORD1025,08/02/2025,JOHN WERE,723166587,Eldoret,Power Bank,electronics,1,KES 1710,Card,2
ORD1098,Jan 20 2025,esther achieng,0793308330,thika,Water Bottle,home,4,600,Card,3
ORD1159,2025-03-11,Victor Wafula,+254726752895,Eldoret ,Denim Jeans,clothing,2,KES 2280,mpesa,2
ORD1218,2025-06-06,otieno were,738658902,mombasa,Water Bottle,Home,1,640,cash,4
ORD1112,11/05/2025,  Faith Were ,767854458,nakuru,Power Bank,Electronics,3,"1,870",Card,5
ORD1133,2025-01-19,nasra mutua,748580783,Nakuru,Bedsheet Set,Home ,3,"2,770",cash,4
ORD1023,Feb 5 2025,  John Njoroge ,+254701632870,Nakuru,Backpack,stationery,3,1620,cash,4
ORD1124,Feb 19 2025,  Grace Wafula ,728073741, Nairobi,Cotton T-Shirt,clothing,1,"1,010",mpesa,5
ORD1082,May 2 2025,collins mwangi,254727557192,kisumu,Phone Charger,Electronics ,2,750,mpesa,4
ORD1103,2025-02-16,Joyce Were,+254779568783,Eldoret ,Backpack,Stationery ,1,1730,card,3
ORD1035,28/06/2025,NASRA KAMAU,+254710947775,Thika,Wireless Earbuds,Electronics ,2,KES 3830,M-Pesa,5
ORD1201,24/06/2025,daniel omondi,0712075011,Mombasa,Water Bottle,home,3,620,M-Pesa,4
ORD1083,23/03/2025,Grace Otieno,739473121,Eldoret,Frying Pan,Home ,2,KES 1120,M-Pesa,2
ORD1047,2025-03-01,John Chebet,750455623,Nakuru ,Bedsheet Set,Home ,4,2870,Mpesa,3
ORD1053,2025-04-04,COLLINS WERE,+254738267586, Nairobi,Backpack,Stationery ,1,1570,cash,3
ORD1111,Jun 20 2025,JOHN NJOROGE,254701398373,NAIROBI,Phone Charger,Electronics,3,800,Mpesa,3
ORD1120,Apr 23 2025,Otieno  Otieno,726551104,NAIROBI,Cotton T-Shirt,Clothing ,3,1000,Mpesa,3
ORD1158,01/04/2025,  Joyce Kamau ,+254793252500,mombasa,Wireless Earbuds,electronics,1,3210,cash,1
ORD1145,May 17 2025,Mercy Otieno,742524105,nakuru,Frying Pan,Home ,1,1110,mpesa,5
ORD1094,Jun 28 2025,Joyce Njoroge,709749930,Nakuru,Denim Jeans,Clothes,1,2120,cash,4
ORD1043,09/06/2025,Faith Njoroge,+254777378263,Thika,Backpack,stationery,2,KES 1700,mpesa,
ORD1093,Feb 20 2025,Otieno Abdi,254725952694,Nakuru ,Wireless Earbuds,Electronic,3,"3,170",card,4
ORD1152,07/01/2025,Samuel Otieno,254721356804,Thika,Bluetooth Speaker,Electronics,1,KES 2650,cash,4
ORD1034,16/06/2025,Daniel Wafula,254798941343,Mombasa,Frying Pan,home,3,1200,Cash,3
ORD1142,08/01/2025,  Daniel Were ,791805526,Mombassa,Cotton T-Shirt,clothing,3,KES 970,cash,4
ORD1092,May 9 2025,dennis abdi,254791216558,Eldoret,Denim Jeans,clothing,1,"2,220",card,
ORD1190,Mar 18 2025,  Daniel Omondi ,254797571130,Mombassa,Denim Jeans,Clothing ,1,"2,130",card,5
ORD1168,Jan 26 2025,  John Otieno ,0799861622,Kisumu,Notebook Set,Stationery ,1,340,cash,4
ORD1033,12/05/2025,Esther Njoroge,254788568557,Mombassa,Phone Charger,Electronics ,2,760,M-Pesa,3
ORD1078,2025-06-21,OTIENO WAFULA,795205852,Kisumu ,Frying Pan,home,3,"1,080",Mpesa,3
ORD1130,04/05/2025,  Samuel Omondi ,+254757924991,nakuru,Notebook Set,Stationery,1,380,mpesa,
ORD1041,02/05/2025,FAITH KAMAU,715451680,nakuru,Sports Shoes,Clothing,1,4360,card,5
ORD1012,May 2 2025,  Nasra Omondi ,0750097882,Nairobi,Bluetooth Speaker,electronics,1,2340,card,4
ORD1074,2025-01-10,  Samuel Mwangi ,724782613,thika,Water Bottle,Home,4,KES 580,M-Pesa,5
ORD1101,Mar 19 2025,  Mercy Were ,732966851,Thika ,Backpack,Stationery,1,1520,Mpesa,3
ORD1026,10/03/2025,Dennis Were,768893734,nakuru,Water Bottle,Home,2,KES 640,mpesa,1
ORD1192,Jan 17 2025,  Dennis Otieno ,+254708697829,mombasa,Leather Belt,clothing,5,720,Card,5
ORD1181,2025-02-24,esther wafula,730982150,Nakuru ,Bluetooth Speaker,Electronics ,4,"2,720",card,1
ORD1139,Feb 17 2025,Grace Chebet,0770051627,nairobi,Frying Pan,home,1,1100,Cash,2
ORD1132,Apr 14 2025,  Wanjiru Mwangi ,+254776772190,eldoret,Bluetooth Speaker,Electronics,1,KES 2340,Mpesa,
ORD1040,Feb 16 2025,Dennis Kiprono,254774296717,,Bedsheet Set,home,1,KES 2890,Cash,5
ORD1109,Jan 18 2025,PETER ACHIENG,254726870568,Nakuru ,Bluetooth Speaker,Electronic,2,KES 2740,Mpesa,3
ORD1184,22/05/2025,  Esther Achieng ,254721811437,NAIROBI,Denim Jeans,Clothes,1,2080,M-Pesa,5
ORD1003,2025-05-21,WANJIRU KAMAU,254783276483,Thika,Denim Jeans,clothing,1,2070,cash,4
ORD1015,2025-02-09,Joyce  Kiprono,+254718244935,Thika ,Wireless Earbuds,Electronics ,2,"3,610",Card,2
ORD1148,01/04/2025,  Otieno Otieno ,734949375,Kisumu,Water Bottle,Home ,3,570,cash,2
ORD1022,Mar 17 2025,  Daniel Abdi ,0795134332,,Bedsheet Set,Home,3,KES 3020,card,4
ORD1099,Apr 16 2025,faith omondi,0734540193,Mombasa,Wireless Earbuds,Electronic,5,3820,M-Pesa,4
ORD1166,May 8 2025,Kevin Were,706868793,nakuru,Phone Charger,Electronics,3,KES 820,cash,5
ORD1110,05/06/2025,joyce chebet,+254708668826,Mombassa,Bedsheet Set,Home,1,KES 2820,Cash,3
ORD1050,Jun 25 2025,esther mutua,+254721047095,Mombasa,Ballpoint Pens,stationery,1,KES 210,Cash,4
ORD1214,08/01/2025,Mercy  Kiprono,+254762103886,Nakuru ,Cotton T-Shirt,Clothing,2,880,Card,4
ORD1200,Mar 17 2025,Peter Chebet,0777043581,nairobi,Sports Shoes,Clothing,3,"3,990",M-Pesa,
ORD1004,16/06/2025,PETER CHEBET,772423884,Thika ,Phone Charger,Electronic,4,KES 750,Mpesa,3
ORD1069,2025-06-06,Amina Njoroge,254737788925,thika,Bedsheet Set,home,1,KES 3020,cash,2
ORD1151,2025-05-04,  Peter Wafula ,254712775618,Mombasa,Cotton T-Shirt,Clothes,4,KES 890,Card,5
ORD1054,28/02/2025,  Esther Kiprono ,0715850643,nakuru,Cotton T-Shirt,Clothing,1,860,Mpesa,4
ORD1167,2025-04-06,Amina  Abdi,+254733206163,,Notebook Set,stationery,2,KES 370,Cash,2
ORD1188,28/04/2025,Otieno  Kamau,+254721753540,mombasa,Ballpoint Pens,Stationery ,2,KES 180,Card,4
ORD1006,Jun 9 2025,SAMUEL OMONDI,254728148932,nairobi,Phone Charger,Electronics,1,760,mpesa,5
ORD1016,21/02/2025,Samuel Mwangi,+254727868011,Nairobi,Backpack,stationery,1,"1,570",card,3
ORD1169,06/01/2025,JOYCE ABDI,+254762996065,Eldoret,Sports Shoes,Clothes,2,KES 4000,mpesa,4
ORD1197,2025-02-22,Wanjiru  Kiprono,254722816064,Mombasa,Frying Pan,Home,3,"1,220",cash,3
ORD1180,Jan 13 2025,Brian Omondi,254794210447,kisumu,Backpack,Stationery ,1,1670,mpesa,3
ORD1101,Mar 19 2025,  Mercy Were ,732966851,Thika ,Backpack,Stationery,1,1520,Mpesa,3
ORD1071,Jun 22 2025,John  Mutua,+254716850542,Mombassa,Sports Shoes,Clothes,1,4320,Mpesa,4
ORD1156,2025-05-08,NASRA NJOROGE,0740785932,Mombasa,Ballpoint Pens,Stationery ,1,200,mpesa,1
ORD1125,19/04/2025,grace mutua,0788680589,Nakuru,Frying Pan,Home,1,"1,180",Cash,5
ORD1150,2025-01-17,  Grace Abdi ,254761990623,thika,Frying Pan,home,2,KES 1290,Cash,2
ORD1140,2025-06-05,FAITH OTIENO,+254789092753,Mombassa,Denim Jeans,Clothes,1,2360,M-Pesa,4
ORD1161,2025-03-07,Peter Kamau,715410067,Kisumu,Water Bottle,home,2,KES 620,Card,4
ORD1095,2025-04-23,Grace  Mwangi,254768970283,Kisumu ,Frying Pan,home,1,"1,100",Card,4
ORD1186,2025-02-04,  Collins Mutua ,+254702169797,Thika ,Frying Pan,home,3,KES 1280,card,5
ORD1010,2025-03-26,Halima Njoroge,254733387262, Nairobi,Backpack,Stationery,2,1640,Card,4
ORD1138,2025-06-10,  Mercy Njoroge ,741541520,Thika ,Wireless Earbuds,Electronics ,2,"3,840",Cash,5
ORD1216,14/05/2025,  Dennis Otieno ,730098180,nairobi,Bluetooth Speaker,Electronics ,3,KES 2370,mpesa,3
ORD1126,26/03/2025,Wanjiru  Kamau,+254710143888,thika,Wireless Earbuds,Electronics ,2,KES 3540,Card,4
ORD1020,12/02/2025,Halima  Mwangi,715951484,thika,Bedsheet Set,home,3,"2,820",mpesa,5
ORD1030,18/03/2025,GRACE OTIENO,751850671,eldoret,Water Bottle,Home ,3,KES 620,Cash,5
ORD1211,May 1 2025,Otieno  Achieng,+254727231843,Nakuru,Sports Shoes,clothing,4,KES 4070,card,5
ORD1039,Mar 17 2025,Joyce  Kiprono,254777190659,Kisumu,Cotton T-Shirt,Clothing,2,930,Cash,4
ORD1091,22/06/2025,Grace  Achieng,748016245,eldoret,Denim Jeans,Clothing,1,KES 2000,M-Pesa,5
ORD1170,05/02/2025,BRIAN WAFULA,+254775469137,thika,Cotton T-Shirt,Clothes,2,900,cash,4
ORD1153,2025-01-27,Collins  Abdi,0723651994,Mombasa,Power Bank,Electronics,1,1650,Cash,
ORD1178,Mar 14 2025,OTIENO ABDI,254772521752,mombasa,Sports Shoes,Clothing,4,3820,Card,
ORD1052,19/03/2025,John Chebet,+254751370985,Thika ,Cotton T-Shirt,Clothing,2,950,cash,5
ORD1171,2025-05-19,Wanjiru  Mwangi,254723303070,Eldoret ,Bedsheet Set,Home,1,KES 2600,mpesa,4
ORD1061,2025-02-28,samuel mwangi,796120183,kisumu,Cotton T-Shirt,Clothes,1,KES 980,Mpesa,
ORD1060,22/02/2025,Halima Were,+254731585149,eldoret,Cotton T-Shirt,Clothing,1,960,Cash,4
ORD1051,2025-03-27,halima kamau,+254747451712,Kisumu ,Bluetooth Speaker,Electronic,4,"2,640",mpesa,4
ORD1127,Jan 4 2025,Dennis  Were,254725457387, Nairobi,Bluetooth Speaker,Electronics,1,KES 2420,Cash,3
ORD1048,08/02/2025,Mercy  Otieno,0747407482,nakuru,Water Bottle,home,2,580,mpesa,5
ORD1046,2025-04-21,kevin chebet,0758657809,Kisumu,Phone Charger,Electronics ,5,790,Cash,4
ORD1068,Jan 20 2025,Collins Njoroge,+254786798079,thika,Wireless Earbuds,Electronic,1,"3,400",Mpesa,5
ORD1146,2025-02-12,Dennis Omondi,0741913800,Nakuru,Leather Belt,Clothing,1,KES 690,mpesa,5
ORD1055,May 7 2025,Lucy Mwangi,+254733529042,Eldoret ,Bedsheet Set,home,5,2700,M-Pesa,3
ORD1175,2025-02-17,PETER MUTUA,254709652074,thika,Water Bottle,home,2,KES 570,Cash,3
ORD1199,12/03/2025,Halima  Abdi,739878015,,Sports Shoes,clothing,1,3850,Cash,4
ORD1121,2025-03-18,  John Kamau ,0799560466,nairobi,Leather Belt,clothing,2,700,Card,1
ORD1045,Apr 13 2025,dennis chebet,727028951,Thika,Water Bottle,Home ,1,KES 630,M-Pesa,4
ORD1141,08/02/2025,Faith Kamau,254713899940,Nakuru,Ballpoint Pens,Stationery ,1,200,card,3
ORD1019,2025-03-02,Victor  Chebet,796556981,Kisumu ,Denim Jeans,clothing,1,KES 2390,M-Pesa,3
ORD1206,2025-04-06,PETER KIPRONO,753364525,kisumu,Frying Pan,home,2,KES 1220,cash,5
ORD1102,Mar 19 2025,esther wafula,254790453017,,Wireless Earbuds,Electronic,1,"3,330",card,5
ORD1023,Feb 5 2025,  John Njoroge ,+254701632870,Nakuru,Backpack,stationery,3,1620,cash,4
ORD1073,10/02/2025,wanjiru omondi,735977468,Nakuru,Leather Belt,clothing,3,710,Mpesa,
ORD1063,Feb 13 2025,HALIMA OTIENO,254700343244,Thika,Backpack,Stationery,2,KES 1650,Cash,3
ORD1067,Mar 28 2025,  Dennis Kiprono ,0752717744,thika,Backpack,Stationery ,2,1730,mpesa,5
ORD1002,20/06/2025,  Amina Were ,0793103413, Nairobi,Notebook Set,stationery,4,KES 320,Cash,4
ORD1202,2025-04-22,DENNIS ACHIENG,0780919015,nakuru,Sports Shoes,Clothing ,2,"4,100",M-Pesa,3
ORD1132,Apr 14 2025,  Wanjiru Mwangi ,+254776772190,eldoret,Bluetooth Speaker,Electronics,1,KES 2340,Mpesa,
ORD1090,24/05/2025,Joyce  Chebet,0732787747,,Sports Shoes,Clothes,4,"3,980",Card,5
ORD1105,01/06/2025,  Kevin Abdi ,0740391065,Thika ,Leather Belt,Clothing,2,700,Card,5
ORD1080,23/04/2025,  Wanjiru Chebet ,+254758416169,Kisumu ,Frying Pan,home,5,KES 1180,M-Pesa,5
ORD1058,Apr 4 2025,NASRA WERE,718367365,nakuru,Sports Shoes,Clothes,2,"4,610",M-Pesa,4
ORD1173,Jan 28 2025,dennis achieng,254707229034,Thika ,Backpack,Stationery ,1,"1,510",mpesa,4
ORD1056,2025-03-02,Brian Kamau,0768117758,kisumu,Denim Jeans,clothing,1,"2,320",M-Pesa,1
ORD1162,2025-06-08,  Wanjiru Abdi ,0771040541,eldoret,Phone Charger,electronics,3,KES 850,Mpesa,4
ORD1097,Jan 19 2025,  Esther Wafula ,0786652404,thika,Denim Jeans,Clothes,4,"2,220",mpesa,3
ORD1017,2025-02-22,kevin chebet,+254715869232, Nairobi,Wireless Earbuds,Electronics,4,3360,Cash,5
ORD1215,Feb 20 2025,Lucy Kiprono,+254706865086, Nairobi,Bedsheet Set,home,3,KES 2810,card,4
ORD1205,Jan 7 2025,Dennis  Mwangi,0797552314,Thika,Leather Belt,Clothing ,1,KES 720,Card,2
ORD1195,Feb 10 2025,Brian Abdi,742043805,Nairobi,Wireless Earbuds,electronics,1,"3,410",Cash,3
ORD1007,2025-02-19,Esther Mwangi,+254717182278,kisumu,Denim Jeans,Clothes,3,2360,card,3
ORD1150,2025-01-17,  Grace Abdi ,254761990623,thika,Frying Pan,home,2,KES 1290,Cash,2
ORD1191,04/04/2025,Wanjiru Were,254793316373,Thika,Wireless Earbuds,Electronic,2,3770,Cash,5
ORD1174,May 13 2025,HALIMA CHEBET,254710858994,Thika ,Leather Belt,Clothing,2,KES 660,M-Pesa,4
ORD1117,21/04/2025,Otieno  Chebet,254791803397,Mombasa,Leather Belt,Clothing,1,630,mpesa,2
ORD1086,2025-01-27,Nasra  Omondi,254782422535,Eldoret,Bluetooth Speaker,Electronics ,1,2630,Cash,5
ORD1193,09/02/2025,LUCY KIPRONO,254754722698,Eldoret ,Notebook Set,Stationery ,2,KES 370,Cash,5
ORD1062,May 2 2025,WANJIRU MUTUA,254714767976,nairobi,Bedsheet Set,Home ,2,3040,mpesa,3
ORD1123,2025-06-20,Otieno  Wafula,254745937526,kisumu,Sports Shoes,Clothes,1,"4,450",cash,4
ORD1144,Jan 10 2025,victor achieng,0763031617,thika,Notebook Set,Stationery ,2,330,Cash,4
ORD1096,Jun 9 2025,  Peter Kamau ,254773348434,Thika ,Notebook Set,Stationery,1,330,Cash,4
ORD1113,Jan 9 2025,PETER ACHIENG,799642353,mombasa,Denim Jeans,clothing,2,KES 2160,card,5
ORD1177,26/04/2025,NASRA KAMAU,0754947170,thika,Backpack,Stationery,1,"1,460",M-Pesa,5
ORD1064,03/03/2025,halima kamau,706071596,Eldoret ,Sports Shoes,Clothes,1,KES 4220,M-Pesa,5
ORD1217,20/03/2025,  Faith Kamau ,763688725,eldoret,Backpack,stationery,1,"1,620",mpesa,4
ORD1137,27/03/2025,Wanjiru  Otieno,0758929750,Mombasa,Sports Shoes,Clothes,2,3960,M-Pesa,4
ORD1065,2025-01-14,OTIENO MWANGI,254736968164,Thika,Bluetooth Speaker,Electronics ,2,2650,M-Pesa,5
ORD1131,2025-04-14,FAITH KAMAU,+254778282742,eldoret,Frying Pan,home,1,"1,110",M-Pesa,2
ORD1029,2025-06-23,faith kiprono,724190496,mombasa,Leather Belt,clothing,3,720,card,4
ORD1087,2025-05-19,nasra mutua,0729959001,Eldoret ,Backpack,Stationery ,2,KES 1530,Cash,4
ORD1075,Jan 27 2025,OTIENO ABDI,752204727,mombasa,Power Bank,Electronics,1,1750,M-Pesa,1
ORD1128,Jun 4 2025,Collins Wafula,723828258, Nairobi,Cotton T-Shirt,clothing,3,KES 860,Cash,5
ORD1018,2025-04-08,peter chebet,254775433036,nakuru,Cotton T-Shirt,Clothing,3,KES 880,mpesa,5
ORD1180,Jan 13 2025,Brian Omondi,254794210447,kisumu,Backpack,Stationery ,1,1670,mpesa,3
ORD1027,Apr 19 2025,otieno were,701627204,eldoret,Water Bottle,Home,1,KES 590,mpesa,4
ORD1129,2025-04-13,  Mercy Kamau ,254733419182,Mombassa,Sports Shoes,clothing,2,KES 3800,M-Pesa,4
ORD1104,Feb 19 2025,COLLINS ABDI,722587139,Eldoret,Phone Charger,Electronic,1,860,Card,5
ORD1044,2025-04-28,Victor Mutua,778755886,eldoret,Cotton T-Shirt,clothing,3,990,Mpesa,5
ORD1066,2025-06-27,Victor Omondi,0731243292,Kisumu,Notebook Set,Stationery ,4,KES 350,Card,4
ORD1001,23/02/2025,nasra chebet,0754235116,NAIROBI,Leather Belt,Clothing ,3,710,mpesa,5
ORD1147,08/04/2025,otieno kamau,0736541951,Thika,Water Bottle,Home,3,540,M-Pesa,5
ORD1103,2025-02-16,Joyce Were,+254779568783,Eldoret ,Backpack,Stationery ,1,1730,card,3
ORD1116,09/03/2025,Halima Kamau,0715679334,Eldoret ,Phone Charger,Electronics,1,800,Card,4
ORD1049,08/01/2025,HALIMA WERE,0795944064,Nakuru ,Leather Belt,Clothing,1,740,Cash,
ORD1155,2025-05-16,Kevin  Mwangi,0714626383,nakuru,Ballpoint Pens,Stationery ,2,KES 200,Card,4
ORD1057,2025-04-22,  Victor Mutua ,+254777115921,nakuru,Backpack,Stationery ,1,"1,740",card,5
ORD1070,22/05/2025,Peter  Omondi,254744925192,,Wireless Earbuds,Electronic,2,3700,card,3
ORD1208,24/05/2025,Samuel  Abdi,0727881658,Nakuru ,Leather Belt,clothing,1,720,Cash,3
ORD1088,10/06/2025,  Daniel Kiprono ,736471027,thika,Ballpoint Pens,stationery,2,200,mpesa,4
ORD1089,25/02/2025,LUCY KAMAU,788153714,Kisumu,Water Bottle,Home,3,620,M-Pesa,5
ORD1149,2025-01-11,Grace Kamau,0764138367,Thika,Sports Shoes,Clothing ,2,3800,M-Pesa,5
ORD1143,17/04/2025,John  Mwangi,+254786661889,NAIROBI,Phone Charger,Electronics,1,KES 720,M-Pesa,5
ORD1212,Apr 7 2025,faith omondi,+254726030299,Nakuru,Sports Shoes,Clothing,3,"4,460",Mpesa,4
ORD1185,2025-01-01,MERCY MWANGI,254725579415,Thika,Denim Jeans,Clothing,1,KES 2330,Card,2
ORD1072,May 2 2025,Kevin Kamau,+254759296222,Eldoret ,Cotton T-Shirt,Clothes,1,1010,Card,5
