customer_id,name,phone,county,gender,age,signup_date
C0037,naomi otieno,+254779965075,Nakuru,Male,35,Jun 9 2024
C0038,Caroline Mutua,0736783777,NAIROBI,F,5,08/12/2024
C0039,Mohamed  Kiprono,254756855744,Mombasa,f,41,Jun 4 2023
C0040,nasra mwende,254774989413,Mombassa,F,62,Jan 23 2024
C0041,Kevin  Mutua,742710947,nakuru,F,20,28/05/2023
C0042,Faith Barasa,0790229413,eldoret,m,22,13/09/2023
C0043,  Ruth Njoroge ,254749909133,Thika,F,37,2023-03-18
C0044,Mercy  Mwangi,+254774034471,Kisumu ,m,44,Jul 4 2023
C0045,grace omondi,0710249947,Nakuru ,Male,27,May 17 2024
C0046,  Esther Njoroge ,0759401399,thika,m,23,Mar 16 2023
C0047,Alice  Njoroge,0767175655,Mombassa,Female,35,22/05/2024
C0048,Naomi Mwende,754516808,Nakuru,F,53,25/10/2024
C0049,Alice  Njoroge,+254724771093,Kisumu ,M,21,2024-02-08
C0050,  Collins Otieno ,+254748467737,Nakuru,m,59,09/02/2023
C0051,Peter Mwende,744997278,kisumu,m,50,2024-08-11
C0052,  Caroline Achieng ,+254705766270,Eldoret ,Male,54,Aug 4 2023
C0053,  Ruth Njoroge ,254721745961,Thika ,Female,18,23/11/2024
C0054,brenda abdi,254743161172,Nairobi,Male,20,12/05/2023
C0055,Halima  Kamau,722219693,Eldoret,F,33,09/11/2024
C0056,  Samuel Omondi ,748217594,thika,Female,18,13/04/2024
C0057,Faith  Achieng,744064090,Kisumu,m,42,2024-04-21
C0058,lucy mutua,0710470952,kisumu,f,61,2024-03-07
C0059,ERIC ABDI,+254724745171,mombasa,f,41,2024-09-12
C0060,Eric Chebet,775496513,NAIROBI,m,18,Nov 3 2023
C0061,  Naomi Njoroge ,+254712004711,Eldoret,Female,62,Jun 22 2024
C0062,caroline abdi,+254761796405,nakuru,F,44,22/02/2024
C0063,NASRA OMONDI,254731713900,Mombasa,m,40,Feb 27 2023
C0064,daniel kiprono,254752904228,Mombasa,f,31,01/03/2023
C0065,Eric Mwende,724026811,nakuru,m,33,2023-08-17
C0066,Lucy  Mwangi,747007661,thika,M,64,2023-06-20
C0067,John  Kamau,785698478,Nairobi,f,35,2023-07-15
C0068,Halima Wafula,0756545271,,Female,47,24/12/2023
C0069,Eric  Kamau,254785165604,Kisumu,m,53,22/03/2023
C0070,Grace  Barasa,0751493689,Eldoret ,,24,06/01/2024
C0071,CAROLINE MWENDE,0702296120,Thika ,,37,15/07/2024
C0072,Mercy  Wafula,254791022901,Nakuru ,Female,37,15/10/2024
C0073,  Samuel Achieng ,714978403,Eldoret,M,50,2023-05-07
C0074,Zainab Mutua,254776226838, Nairobi,f,36,01/07/2023
C0075,Ruth  Otieno,766416052,thika,M,38,08/02/2024
C0076,DENNIS CHEBET,+254753521818,kisumu,f,51,2023-04-04
C0077,Samuel Achieng,254727799799,thika,F,29,16/02/2024
C0078,ALICE MUTUA,254781477005,Nairobi,m,35,Aug 19 2024
C0079,Eric  Were,0735978207,,M,20,Jan 8 2023
C0080,collins njoroge,254755466590,NAIROBI,M,51,May 9 2024
C0081,BRENDA OMONDI,0719254629,Kisumu ,Female,56,Mar 22 2024
C0082,Naomi Were,254768505423,Nakuru,F,61,03/03/2023
C0083,Brenda  Mwende,+254780592962,mombasa,m,24,2023-12-15
C0084,  Halima Wafula ,+254794738347,Kisumu ,m,61,25/08/2024
C0085,zainab chebet,0739240758,Thika ,M,50,2024-02-25
C0086,  Samuel Njoroge ,254713750606,Mombassa,M,50,01/04/2024
C0087,ruth otieno,0720472779,Nairobi,Male,63,Mar 18 2023
C0088,LUCY ABDI,0734103697, Nairobi,m,45,Nov 17 2023
C0089,Grace Were,254795396218,Nairobi,Female,27,21/01/2024
C0090,WANJIRU MUTUA,254731952058,Thika,f,0,Dec 16 2024
C0091,  Mercy Mwende ,704303054,eldoret,Male,26,07/11/2023
C0092,WANJIRU BARASA,+254741566765,Nakuru ,Female,21,2024-09-09
C0093,james chebet,784511544,Eldoret ,Female,23,15/12/2023
C0094,COLLINS MWANGI,+254796401658,nairobi,m,64,2024-01-05
C0095,  Grace Mwende ,0790927557,Eldoret,m,59,Jul 11 2024
C0096,  Samuel Achieng ,254786814473,thika,F,5,2023-03-28
C0097,Collins Kamau,+254755188442,Kisumu ,F,63,2023-04-26
C0098,  Grace Mwende ,782911467,Nakuru ,M,150,2023-06-21
C0099,collins njoroge,+254789226801,Kisumu,F,61,08/12/2024
C0100,Victor  Mutua,+254742498182,mombasa,m,23,2024-10-02
C0101,JOHN MWANGI,254739690784,Nakuru,f,59,2024-05-15
C0102,  Caroline Mwangi ,773592555,Mombassa,m,28,08/06/2023
C0103,Faith Mutua,254704696325,Mombasa,Female,46,10/08/2024
C0104,brian otieno,739500479,Kisumu ,,43,05/07/2023
C0105,  James Wafula ,709835841,eldoret,m,43,Oct 22 2024
C0106,FAITH KAMAU,0785239868,Nairobi,,24,17/08/2024
C0107,Kevin  Kiprono,752694958,Thika ,Male,50,12/01/2024
C0108,Mohamed Otieno,797499309,mombasa,f,44,Mar 27 2024
C0109,Grace Mwangi,730756263,Eldoret ,Female,54,Dec 5 2023
C0110,  Daniel Abdi ,254786527858,Thika ,f,38,2024-10-16
C0111,GRACE MUTUA,254743757584, Nairobi,Female,53,2024-03-10
C0112,  Joyce Were ,+254747338484,nairobi,F,23,2023-11-17
C0113,ALICE ACHIENG,771208267,Thika,Male,21,2024-05-21
C0114,ruth mwende,+254780262067,thika,M,23,May 19 2023
C0115,Faith  Wafula,254787287431,mombasa,Female,36,2024-12-06
C0116,james wafula,0729668516,Mombasa,Female,36,01/04/2024
C0117,OTIENO ACHIENG,0749904530,,F,46,Nov 17 2024
C0118,ZAINAB MUTUA,254759332727,Nakuru ,m,62,Sep 26 2024
C0119,Naomi  Achieng,0718785191,Eldoret ,F,33,Mar 11 2023
C0120,Collins  Otieno,771870728,Nakuru ,M,61,26/11/2024
C0121,James Mwangi,0739106518, Nairobi,M,43,2024-07-06
C0122,  Zainab Omondi ,254756766182,nairobi,m,64,Sep 5 2024
C0123,GRACE BARASA,254778686337,Mombassa,F,18,Jan 26 2023
C0124,Halima Kiprono,719079030,,m,19,Jan 5 2023
C0125,Joyce  Achieng,254795342836,Kisumu,m,64,22/11/2023
C0126,  Nasra Njoroge ,785662462,Mombasa,Male,21,Aug 2 2023
C0127,  Halima Chebet ,+254734351751,NAIROBI,Female,53,Feb 7 2023
C0128,james omondi,+254754033173,Nakuru,m,53,13/05/2024
C0129,NASRA OMONDI,254787717535,Nakuru,m,40,2023-12-05
C0130,  Samuel Abdi ,742353693,Eldoret ,f,55,25/05/2024
C0131,james omondi,0752287280,Nairobi,M,65,Mar 27 2024
C0132,grace otieno,0787509977, Nairobi,M,63,24/09/2023
C0133,  Nasra Mutua ,254721182339,kisumu,Female,19,13/06/2023
C0134,Dennis Achieng,0701666870,Thika,M,62,21/07/2024
C0135,Dennis Barasa,0733974014,Mombassa,M,24,Oct 5 2023
C0136,Naomi  Chebet,254739685621,Nairobi,Female,22,Feb 11 2023
C0137,ZAINAB KIPRONO,704773586,mombasa,m,56,Feb 25 2024
C0138,Joyce Mwende,0742626551,NAIROBI,Female,33,2024-05-04
C0139,John  Kamau,254786101581,Nakuru,Male,45,2024-07-25
C0140,james abdi,0762244472,Mombassa,Male,33,2024-05-16
C0141,  Wanjiru Mutua ,799371240,Kisumu ,Female,33,11/08/2024
C0142,naomi barasa,254745937526,Kisumu ,f,59,2024-10-26
C0143,  Peter Chebet ,0751939828,thika,f,35,26/08/2023
C0144,  Naomi Were ,0772434266,Nakuru ,Female,22,Sep 17 2024
C0145,HALIMA ABDI,0789113529,Eldoret ,f,20,26/06/2024
C0146,Faith  Mwangi,788993756,Thika ,f,24,01/06/2023
C0147,Faith Mutua,712545738,kisumu,M,44,23/12/2024
C0148,Peter Otieno,+254705123828,Kisumu ,Female,37,26/04/2024
C0149,  Alice Kamau ,0760937966,Thika,F,29,2024-12-26
C0150,DENNIS OTIENO,737147859,eldoret,m,52,12/06/2023
C0151,LUCY KAMAU,0799125134,Mombassa,f,61,13/09/2023
C0152,lucy kamau,+254778282742,kisumu,m,54,01/06/2023
C0153,Kevin  Achieng,0776767721,Mombassa,M,42,18/04/2024
C0154,  Mercy Mwende ,0788191485,thika,m,47,Jul 4 2023
C0155,Naomi Omondi,254774517133,Thika ,f,33,2024-03-20
C0156,Eric  Achieng,254758498254,eldoret,m,31,25/03/2023
C0157,ruth mwangi,254723253672,thika,Female,35,2024-02-21
C0158,OTIENO ABDI,0777590175,eldoret,F,65,16/04/2024
C0159,Peter  Barasa,0729750017,nairobi,,36,2024-01-14
C0160,CAROLINE KAMAU,254715415206,,F,59,Nov 3 2024
C0161,faith mwangi,793870051,Thika,Female,31,2023-04-13
C0162,JAMES MWENDE,0742622189,Eldoret ,F,24,2024-06-24
C0163,Alice  Were,254773112196,nakuru,F,27,2023-05-21
C0164,Grace  Abdi,740438983,Kisumu ,M,56,2023-08-13
C0165,Grace  Njoroge,+254705526965,Nakuru,M,58,2023-01-09
C0166,Amina  Mwangi,254766618892,NAIROBI,M,43,18/03/2023
C0167,Otieno Kiprono,746303161,Eldoret ,M,58,Nov 24 2024
C0168,James Kamau,+254727588425,thika,f,5,11/01/2023
C0169,Samuel  Abdi,+254717785079,,Male,22,Oct 22 2023
C0170,Faith Achieng,0703075622,Eldoret ,f,65,2024-04-11
C0171,Halima Were,0795180238,Nakuru,Female,38,2024-05-11
C0172,NASRA NJOROGE,+254794937597,Thika ,F,18,2023-01-14
C0173,Grace Abdi,750641383,Nakuru,F,40,2024-02-02
C0174,TONY BARASA,0771918261,Nakuru ,F,51,09/05/2023
C0175,RUTH MWENDE,0757431329,Mombasa,F,43,11/08/2024
C0176,faith abdi,0774741124,Mombassa,F,40,08/12/2023
C0177,OTIENO ABDI,720678831,nairobi,M,21,2023-01-27
C0178,Kevin Achieng,+254799410137,NAIROBI,M,43,2023-08-02
C0179,  Ruth Kiprono ,254770662532,kisumu,F,45,Oct 20 2023
C0180,Grace  Omondi,+254770146263,Thika ,M,36,12/12/2024
C0181,Nasra  Mwende,+254785642059,NAIROBI,M,49,Sep 12 2024
C0182,grace kamau,+254748039652,mombasa,Male,24,Oct 1 2024
C0183,Caroline  Wafula,0737842701,mombasa,F,54,2023-09-16
C0184,PETER KIPRONO,254725002921,NAIROBI,f,30,04/10/2024
C0185,  Joyce Wafula ,+254775289539,nakuru,f,26,Mar 6 2024
C0186,Brian  Were,702959391,Mombassa,f,54,12/04/2023
C0187,MERCY OMONDI,0770433154,Thika,M,23,24/08/2024
C0188,MERCY CHEBET,0786179327,NAIROBI,M,49,2024-05-04
C0189,Peter Kamau,+254781599706,eldoret,F,42,2023-02-11
C0190,Daniel  Chebet,744431069,Mombasa,Male,62,03/07/2023
C0191,naomi omondi,254710324171,nakuru,Female,58,Feb 21 2024
C0192,OTIENO KAMAU,254727047743,Eldoret,F,41,22/02/2023
C0193,Eric  Abdi,+254738068687,nakuru,M,44,Dec 2 2024
C0194,Dennis  Abdi,0721722332,Nakuru,f,54,Apr 27 2024
C0195,Kevin Barasa,716868548, Nairobi,M,56,Mar 5 2024
C0196,Dennis  Kiprono,714856467,nairobi,Male,24,Mar 20 2024
C0197,MOHAMED WERE,254730745054,kisumu,f,43,05/04/2023
C0198,  James Njoroge ,254791373678,nairobi,M,38,17/12/2024
C0199,Kevin Mwende,254723303070,Thika,Male,51,17/08/2024
C0200,ALICE OTIENO,254779727985,Mombassa,f,61,01/05/2023
C0201,amina kamau,733346800,mombasa,F,54,Apr 9 2023
C0202,ERIC MUTUA,766574374,Eldoret,M,63,Sep 21 2024
C0203,  Lucy Mutua ,+254715454443,Eldoret,M,37,Nov 11 2024
C0204,KEVIN WERE,254746660993,Thika ,F,19,Nov 12 2024
C0205,Joyce  Barasa,254724172482,Thika,F,28,24/04/2024
C0206,Halima  Mwende,0747170999,Nakuru,m,39,Nov 13 2023
C0207,joyce chebet,+254723569725, Nairobi,Male,21,2023-06-21
C0208,brian njoroge,792712966,nakuru,Female,35,2023-01-18
C0209,James  Wafula,0730033542,Nakuru ,m,18,2024-03-03
C0210,Joyce  Mutua,+254785625753,Nakuru,F,47,2023-12-05
C0211,James Mwangi,0750648909,Thika,f,55,2023-01-23
C0212,HALIMA NJOROGE,254772304618,Eldoret ,f,42,2023-07-27
C0213,Victor Were,254717393483,thika,Male,57,18/01/2023
C0214,RUTH ACHIENG,0730011972,,f,62,2023-05-21
C0215,Collins Mutua,0720455611,nairobi,f,34,12/06/2023
C0216,LUCY MUTUA,721667467,Thika,M,64,2023-12-24
C0217,Brenda  Kamau,0779729659,Thika ,F,24,04/08/2024
C0218,COLLINS MWANGI,0708993588,Nakuru ,f,22,Aug 12 2023
C0219,Mohamed  Omondi,0790028772,,F,42,May 2 2024
C0220,grace abdi,254717797177, Nairobi,f,59,13/02/2023
C0221,Amina  Abdi,0794883755,Mombassa,,0,22/12/2024
C0222,caroline njoroge,0705548851,Mombassa,F,25,Feb 9 2024
C0223,  Daniel Achieng ,0737351609,nakuru,f,25,Aug 1 2023
C0224,James  Mwangi,254778292216,eldoret,Female,53,13/05/2023
C0225,Joyce  Njoroge,254784858333,thika,f,26,2023-12-21
C0226,Victor Abdi,758799684,Nairobi,M,62,Mar 2 2024
C0227,amina achieng,254744204380,Nakuru,m,35,Dec 21 2023
C0228,OTIENO ACHIENG,254706665800,mombasa,Female,50,Nov 23 2023
C0229,Alice  Wafula,0733472122,Nakuru,Female,55,2024-09-09
C0230,mercy kiprono,254702590947,,m,200,2023-03-17
C0231,Eric  Abdi,254761533555,mombasa,m,28,Sep 27 2024
C0232,brian otieno,254799305616,Eldoret ,Male,60,27/09/2023
C0233,Victor Mwende,0743581128,Thika,F,50,2023-11-14
C0234,  Daniel Abdi ,0712075011,Mombassa,m,62,2023-10-27
C0235,  Ruth Mutua ,0765061809,Thika ,M,44,2023-06-17
C0236,Joyce Mwende,+254747660728,mombasa,Female,61,05/11/2024
C0237,Mohamed Mwende,788210099,Eldoret ,M,64,Apr 24 2024
C0238,Tony  Were,+254722239431,Thika ,M,40,2024-11-18
C0239,joyce omondi,0797552314,Mombassa,Female,22,Jun 20 2024
C0240,Joyce  Were,755620533,kisumu,F,55,15/08/2024
C0241,Wanjiru Mwende,0729142834,Thika,M,37,19/10/2023
C0242,Zainab  Kiprono,254748872563,Mombassa,m,31,Jul 12 2023
C0243,Brian  Omondi,+254728272299,Thika ,Female,33,08/01/2024
C0244,Grace Otieno,254738567700,NAIROBI,f,34,Oct 18 2024
C0245,Mercy  Chebet,254718463865,nakuru,m,59,05/09/2023
C0246,MERCY ACHIENG,732225913,Kisumu ,M,22,16/11/2024
C0247,  Daniel Kiprono ,0703029922,Eldoret,M,28,May 6 2023
C0248,OTIENO KIPRONO,713797723,Eldoret,m,54,Oct 22 2023
C0249,  Samuel Kamau ,0799136621,mombasa,m,64,2024-03-20
C0250,Mercy  Njoroge,781172980,eldoret,Male,57,17/12/2023
C0251,  Grace Mwende ,+254759916247,NAIROBI,m,48,2024-05-07
C0252,Caroline Were,+254780635651,Nakuru ,m,18,May 28 2024
C0253,  Halima Kiprono ,736887258,kisumu,m,41,Dec 13 2024
C0254,kevin barasa,0772138658,Mombassa,f,60,2023-02-27
C0255,ESTHER KIPRONO,254735190669,Thika ,M,45,16/11/2023
C0256,Brian  Achieng,+254743098839,Thika,Male,60,2023-11-01
C0257,  John Mutua ,254769380118,Thika ,m,43,27/06/2024
C0258,  Grace Kiprono ,0790426818,eldoret,Male,30,Sep 9 2023
C0259,  Naomi Mwende ,0769735779,Nakuru,Male,54,2023-07-21
C0260,  Mohamed Were ,758804341,Thika ,Male,32,06/09/2023
C0261,PETER WAFULA,+254723733343,Mombasa,m,31,2024-03-25
C0262,  Faith Otieno ,790807595,eldoret,Female,61,09/09/2023
C0263,Grace  Mwende,767808562, Nairobi,Male,54,2023-01-22
C0264,Otieno  Kiprono,254742843479,Kisumu,Female,24,Apr 14 2024
C0265,ZAINAB WAFULA,+254772929314,eldoret,Female,41,Mar 26 2023
C0266,  Kevin Njoroge ,0728857448,Nakuru,f,18,07/01/2023
C0267,ESTHER BARASA,745588450,,f,58,Oct 19 2023
C0268,ALICE ABDI,254755877169,Nakuru ,F,29,26/11/2023
C0269,Halima Omondi,712535544,kisumu,,57,2024-07-06
C0270,BRENDA MWANGI,0713261117, Nairobi,m,26,Feb 9 2023
C0271,  Kevin Otieno ,+254743347228,Nairobi,f,59,28/06/2024
C0272,Collins  Barasa,772829979,Eldoret ,f,52,Jun 16 2024
C0273,GRACE MWENDE,254764240082,kisumu,m,23,16/12/2023
C0274,Joyce  Mwangi,730853686,Mombasa,f,45,08/07/2024
C0275,John  Chebet,+254744846312,Kisumu,f,58,15/10/2024
C0276,Caroline Kiprono,+254720802144,thika,f,49,2023-04-03
C0277,BRIAN NJOROGE,254775705120,Nakuru,m,31,07/03/2024
C0278,naomi chebet,+254767303718,,,18,Jun 6 2024
C0279,James  Mwangi,0714743503,mombasa,Female,65,06/01/2024
C0280,Dennis Otieno,+254709792513,Nakuru,f,43,2024-11-02
C0281,Wanjiru Omondi,0727358573,thika,Male,27,02/05/2023
C0282,  Caroline Njoroge ,+254739285574,nairobi,Female,53,18/05/2024
C0283,collins mwangi,709593518,mombasa,f,58,Sep 5 2024
C0284,Joyce Wafula,0718102203,Nakuru,M,44,21/10/2023
C0285,Mohamed  Njoroge,740539103, Nairobi,f,51,Jun 18 2023
C0286,Tony Chebet,0794801413,nairobi,m,41,Apr 7 2024
C0287,mohamed achieng,0788619576,Mombasa,m,54,Sep 11 2024
C0288,MERCY ABDI,+254758556659,Eldoret ,F,56,24/09/2024
C0289,Wanjiru Njoroge,254704908240,Mombasa,Male,46,27/12/2023
C0290,Ruth  Abdi,254721075224,Eldoret,F,50,May 3 2024
C0291,OTIENO KIPRONO,772791940,Nairobi,Male,31,2024-07-14
C0292,Brenda  Mwende,+254706048058,Kisumu ,f,32,Mar 2 2023
C0293,James  Chebet,254781364622, Nairobi,m,46,13/09/2023
C0294,john chebet,+254727837693,,Male,50,Jun 22 2024
C0295,JOHN OTIENO,254753559042,eldoret,m,60,2023-08-02
C0296,Daniel Omondi,0710392405,kisumu,Female,41,Jun 7 2023
C0297,NASRA ACHIENG,0787920698,Kisumu,M,31,Apr 26 2024
C0298,Lucy Mutua,+254716451046,Nakuru ,,21,Jun 16 2023
C0299,  Nasra Otieno ,780038457,Thika,M,29,12/11/2024
C0300,Alice  Mutua,+254740460843,kisumu,f,33,24/02/2023
